"TIME","Vramp","Vo_2"
0,-2,4.99002
0.00656,-1.98032,4.99002
0.02856,-1.91432,4.99002
0.05056,-1.84832,4.99002
0.07256,-1.78232,4.99002
0.09456,-1.71632,4.99002
0.11656,-1.65032,4.99002
0.13856,-1.58432,4.99002
0.16056,-1.51832,4.99002
0.18256,-1.45232,4.99002
0.20456,-1.38632,4.99002
0.22656,-1.32032,4.99002
0.24856,-1.25432,4.99002
0.27056,-1.18832,4.99002
0.29256,-1.12232,4.99002
0.31456,-1.05632,4.99002
0.33656,-0.99032,4.99002
0.35856,-0.92432,4.99002
0.38056,-0.85832,4.99002
0.40256,-0.79232,4.99002
0.42456,-0.72632,4.99002
0.44656,-0.66032,4.99002
0.46856,-0.59432,4.99002
0.49056,-0.52832,4.99002
0.51256,-0.46232,4.99002
0.53456,-0.39632,4.99002
0.55656,-0.33032,4.99002
0.57856,-0.26432,4.99002
0.60056,-0.19832,4.99002
0.62256,-0.13232,4.99002
0.64456,-0.06632,4.99002
0.66656,-0.00032,4.99002
0.68856,0.06568,4.99002
0.71056,0.13168,4.99002
0.73256,0.19768,4.99002
0.75456,0.26368,4.99002
0.77656,0.32968,4.99001
0.79856,0.39568,4.98993
0.81456,0.44368,4.98944
0.82056,0.46168,4.9887
0.82456,0.47368,4.98821
0.83056,0.49168,4.98651
0.83656,0.50968,4.9834
0.84056,0.52168,4.98014
0.84256,0.52768,4.97788
0.84456,0.53368,4.97563
0.84856,0.54568,4.96966
0.85256,0.55768,4.96209
0.85656,0.56968,4.95291
0.86056,0.58168,4.94217
0.86456,0.59368,4.93002
0.86856,0.60568,4.91661
0.87456,0.62368,4.89449
0.88056,0.64168,4.8704
0.88656,0.65968,4.84475
0.8951026715,0.685308,4.80613
0.9013290644,0.703987,4.77677
0.9053290644,0.715987,4.75733
0.9093290644,0.727987,4.73788
0.9193290644,0.757987,4.68783
0.9273290644,0.781987,4.64679
0.9293290644,0.787987,4.63653
0.9413290644,0.823987,4.57372
0.9493290644,0.847987,4.53109
0.9553290644,0.865987,4.49911
0.9693290644,0.907987,4.42341
0.9713290644,0.913987,4.41246
0.9853290644,0.955987,4.33586
0.9933290644,0.979987,4.29163
1.003329064,1.00999,4.23634
1.015329064,1.04599,4.16941
1.023329064,1.06999,4.12479
1.037329064,1.11199,4.04611
1.045329064,1.13599,4.00115
1.059329064,1.17799,3.92198
1.067329064,1.20199,3.87674
1.081329064,1.24399,3.79719
1.089329064,1.26799,3.75173
1.103329064,1.30999,3.67185
1.111329064,1.33399,3.62621
1.125329064,1.37599,3.54607
1.133329064,1.39999,3.50028
1.147329064,1.44199,3.41992
1.155329064,1.46599,3.374
1.169329064,1.50799,3.29345
1.177329064,1.53199,3.24742
1.191329064,1.57399,3.16671
1.199329064,1.59799,3.12058
1.213329064,1.63999,3.03973
1.221329064,1.66399,2.99352
1.235329064,1.70599,2.91254
1.243329064,1.72999,2.86627
1.257329064,1.77199,2.78517
1.265329064,1.79599,2.73883
1.279329064,1.83799,2.65764
1.287329064,1.86199,2.61125
1.301329064,1.90399,2.52997
1.309329064,1.92799,2.48352
1.323329064,1.96999,2.40217
1.331329064,1.99399,2.35568
1.345329064,2.03599,2.27425
1.353329064,2.05999,2.22772
1.367329064,2.10199,2.14622
1.375329064,2.12599,2.09965
1.389329064,2.16799,2.0181
1.397329064,2.19199,1.9715
1.411329064,2.23399,1.88993
1.415329064,2.24599,1.86663
1.421329064,2.26399,1.83194
1.425329064,2.27599,1.80957
1.427329064,2.28199,1.79906
1.429329064,2.28799,1.78943
1.431329064,2.29399,1.78107
1.433329064,2.29999,1.77431
1.435329064,2.30599,1.76928
1.437329064,2.31199,1.76589
1.439329064,2.31799,1.7639
1.441329064,2.32399,1.76306
1.443329064,2.32999,1.76314
1.445329064,2.33599,1.76395
1.447329064,2.34199,1.76534
1.449329064,2.34799,1.76721
1.453329064,2.35999,1.77205
1.455329064,2.36599,1.77502
1.457329064,2.37199,1.77798
1.461329064,2.38399,1.7847
1.465329064,2.39599,1.79201
1.469329064,2.40799,1.79979
1.475329064,2.42599,1.81211
1.477329064,2.43199,1.81643
1.481329064,2.44399,1.82505
1.487329064,2.46199,1.83845
1.495329064,2.48599,1.85687
1.499329064,2.49799,1.86633
1.503329064,2.50999,1.87579
1.513329064,2.53999,1.89997
1.521329064,2.56399,1.9197
1.525329064,2.57599,1.92957
1.537329064,2.61199,1.95966
1.543329064,2.62999,1.97491
1.551329064,2.65399,1.99525
1.565329064,2.69599,2.03126
1.567329064,2.70199,2.0364
1.585329064,2.75599,2.08318
1.587329064,2.76199,2.08842
1.607329064,2.82199,2.14087
1.609329064,2.82799,2.14615
1.629329064,2.88799,2.199
1.631329064,2.89399,2.20432
1.651329064,2.95399,2.25748
1.653329064,2.95999,2.26283
1.673329064,3.01999,2.31624
1.675329064,3.02599,2.3216
1.695329064,3.08599,2.37523
1.697329064,3.09199,2.3806
1.717329064,3.15199,2.4344
1.719329064,3.15799,2.43979
1.739329064,3.21799,2.49373
1.741329064,3.22399,2.49914
1.761329064,3.28399,2.5532
1.763329064,3.28999,2.55862
1.783329064,3.34999,2.6128
1.785329064,3.35599,2.61822
1.805329064,3.41599,2.67249
1.807329064,3.42199,2.67793
1.827329064,3.48199,2.73228
1.829329064,3.48799,2.73772
1.849329064,3.54799,2.79215
1.851329064,3.55399,2.7976
1.871329064,3.61399,2.85209
1.873329064,3.61999,2.85754
1.893329064,3.67999,2.9121
1.895329064,3.68599,2.91756
1.915329064,3.74599,2.97216
1.917329064,3.75199,2.97763
1.937329064,3.81199,3.03229
1.939329064,3.81799,3.03776
1.959329064,3.87799,3.09246
1.961329064,3.88399,3.09793
1.981329064,3.94399,3.15267
1.983329064,3.94999,3.15815
2,4,3.20381
