"TIME","Vramp","Vo_1"
0,-2,4.9999
0.1312,-1.6064,4.9999
0.5712,-0.2864,4.9999
0.7712,0.3136,4.9999
0.8112,0.4336,4.9995
0.8512,0.5536,4.95867
0.8821735941,0.646521,3.54987
0.9035220336,0.710566,0.0580275
0.916946454,0.750839,0.0441901
0.9294308783,0.788293,0.0391354
0.9482911151,0.844873,0.0354306
0.9860115888,0.958035,0.0325119
1.026011589,1.07803,0.0314071
1.066011589,1.19803,0.0310017
1.106011589,1.31803,0.0308906
1.146011589,1.43803,0.0309302
1.186011589,1.55803,0.0310538
1.226011589,1.67803,0.0312268
1.266011589,1.79803,0.0314301
1.306011589,1.91803,0.0316517
1.346011589,2.03803,0.0318855
1.426011589,2.27803,0.0323708
1.546011589,2.63803,0.0331098
1.626011589,2.87803,0.0335972
1.706011589,3.11803,0.0340758
1.786011589,3.35803,0.034544
1.866011589,3.59803,0.0350012
1.946011589,3.83803,0.0354472
2,4,0.035742
